Free Agents  Season  CBS Average Projections Scoring Stats
Player,Opp,Bye,FG,FGB,FL,MFG,MXP,Pa2P,PaInt,PaTD,PaYd,Re2P,ReTD,ReYd,Recpt,Ru2P,RuTD,RuYd,XP,XPB,FPTS,
Marshawn Lynch RB | SEA ,GB,4,0,0,2.0,0,0,0,0,0,0,0,1.0,180.5,24.0,0,9.0,1193.0,0,0,202.00
Toby Gerhart RB | JAC ,@PHI,11,0,0,1.5,0,0,0,0,0,0,0,1.0,242.0,35.0,0,6.5,1153.5,0,0,202.00
Jason Witten TE | DAL,SF,11,0,0,0,0,0,0,0,0,0,0,6.5,897.5,80.5,0,0,0,0,0,201.50
Reggie Bush RB | DET ,NYG,9,0,0,2.5,0,0,0,0,0,0,0,3.0,425.0,47.0,0,3.5,915.5,0,0,199.00
Joique Bell RB | DET,NYG,9,0,0,2.5,0,0,0,0,0,0,0,1.0,351.5,44.0,0,7.5,905.0,0,0,199.00
Torrey Smith WR | BAL,CIN,11,0,0,0.5,0,0,0,0,0,0,0,6.0,1066.0,64.0,0,0,0,0,0,197.00
Mike Wallace WR | MIA ,NE,5,0,0,0.5,0,0,0,0,0,0,0,5.5,985.5,70.0,0,0,31.5,0,0,194.00
Jeremy Maclin WR | PHI ,JAC,7,0,0,0.5,0,0,0,0,0,0,0,6.0,956.5,71.0,0,0,0,0,0,193.00
Terrance Williams WR | DAL ,SF,11,0,0,0.5,0,0,0,0,0,0,0,7.0,949.0,64.0,0,0,22.0,0,0,193.00
DeSean Jackson WR | WAS,@HOU,10,0,0,0.5,0,0,0,0,0,0,0,7.5,959.5,57.5,0,0,35.5,0,0,189.50
Ryan Fitzpatrick QB | HOU,WAS,10,0,0,2.5,0,0,0,15.5,17.5,2999.5,0,0,0,0,0,0.5,122.0,0,0,189.00
Matt Schaub QB | OAK ,@NYJ,5,0,0,2.5,0,0,0,14.0,17.5,3118.0,0,0,0,0,0,0,24.5,0,0,188.00
Reggie Wayne WR | IND ,@DEN,10,0,0,0,0,0,0,0,0,0,0,5.0,925.5,72.5,0,0,0,0,0,186.50
Pierre Thomas RB | NO ,@ATL,6,0,0,1.0,0,0,0,0,0,0,0,3.5,433.5,61.5,0,2.5,633.0,0,0,186.50
Kelvin Benjamin WR | CAR ,@TB,12,0,0,1.0,0,0,0,0,0,0,0,7.0,914.5,61.0,0,0,21.0,0,0,186.00
C.J. Spiller RB | BUF ,@CHI,9,0,0,2.5,0,0,0,0,0,0,0,1.5,280.5,38.0,0,4.5,1047.5,0,0,186.00
T.Y. Hilton WR | IND,@DEN,10,0,0,0.5,0,0,0,0,0,0,0,6.0,917.0,65.5,0,0,17.5,0,0,185.50
Dennis Pitta TE | BAL ,CIN,11,0,0,0,0,0,0,0,0,0,0,7.0,828.0,65.5,0,0,0,0,0,182.50
Vernon Davis TE | SF,@DAL,8,0,0,0.5,0,0,0,0,0,0,0,9.0,781.0,60.5,0,0,0,0,0,182.50
Rashad Jennings RB | NYG ,@DET,8,0,0,2.5,0,0,0,0,0,0,0,1.0,304.0,40.0,0,5.5,937.0,0,0,182.00
Rueben Randle WR | NYG ,@DET,8,0,0,1.0,0,0,0,0,0,0,0,7.0,851.0,62.0,0,0,0,0,0,180.00
Brandin Cooks WR | NO ,@ATL,6,0,0,1.0,0,0,0,0,0,0,0,6.0,899.0,60.5,0,0,25.0,0,0,177.50
Bishop Sankey RB | TEN ,@KC,9,0,0,2.0,0,0,0,0,0,0,0,1.0,233.5,29.0,0,5.5,1024.5,0,0,174.00
Greg Olsen TE | CAR ,@TB,12,0,0,0.5,0,0,0,0,0,0,0,5.5,794.0,70.5,0,0,0,0,0,173.50
